original_triage,intermediate_triage
seek medical advice next few hours,seek medical advice within the next few hours
emergency,seek emergency care
call ambulance,call ambulance
seek advice from a doctor within the next few hous,seek medical advice within the next few hours
"may require emergency care, if you think this is an emergency you should go to an ed without delay",seek emergency care
see doctor in next few hours,seek medical advice within the next few hours
see doctor nect few hours,seek medical advice within the next few hours
non-urgent gp,doctor routine appointment
seeh advice frome a doctor within next few hours,seek medical advice within the next few hours
seek medical advice the next few hours,seek medical advice within the next few hours
urgent,urgent medical care
emergency care,seek emergency care
can usually be managed at home,manage at home
"you should seek advice from a doctor though, within the next 2-3 days.",seek medical advice (2-3 days)
"do not required urgent medical care, you should seek advice from a doctor, through it is probalby oaky for this to be a routine appointment.",doctor routine appointment
seek medical advice (orange),seek medical advice
seek medical advice,seek medical advice
seek medical care,seek medical advice
see lrimary care within 2 weeks,doctor routine appointment
"seek advice from a doctor though, within the next 2-3 days.",seek medical advice (2-3 days)
urgent gp,urgent medical care
can be usually managed at home,manage at home
seek medical device,seek medical advice
can usually managed at home,manage at home
may required urgent medical care,urgent medical care
seek advice from a doctor within the next few hours,seek medical advice within the next few hours
"not urgent, see doctor in next 2-3 days",seek medical advice (2-3 days)
see doctor in 2-3 days,seek medical advice (2-3 days)
seek emergency care,seek emergency care
urgent medical care,urgent medical care
manage at home,manage at home
seek advice from a doctor within the next few fours,seek medical advice within the next few hours
seek medical advice within next few hours,seek medical advice within the next few hours
seek medical advice within the next few hours,seek medical advice within the next few hours
seek medical advice in 2-3 days,seek medical advice (2-3 days)
see doctor asap,seek emergency care
seek advice from a doctor within next few hours,seek medical advice within the next few hours
self treatment,manage at home
seek medical advcie,seek medical advice
seek doctor advice in 2-3 days,seek medical advice (2-3 days)
seek medcial advice in 2-3 days,seek medical advice (2-3 days)
you should seek medical advice from a doctor within the next few hour,seek medical advice within the next few hours
seek energency care,seek emergency care
seek a doctor in the next few hours,seek medical advice within the next few hours
urgen medical care,urgent medical care
seek medical advice in next few hours,seek medical advice within the next few hours
"seek advice from a doctor, routine appointment",doctor routine appointment
seek medical advice in next 2-3 days,seek medical advice (2-3 days)
seek medical advice next 2-3 days,seek medical advice (2-3 days)
